TS,DEMO.SIM.06G31_1FD Fan Damper Position,DEMO.SIM.06I03_1FD Fan Motor Current,DEMO.SIM.06GP34_1FD Fan Outlet Pressure,DEMO.SIM.06T31_1FD Fan Inlet Temperature,DEMO.SIM.06T32-1_1FD Fan Bearing Temperature,DEMO.SIM.06T33-1_1FD Fan Winding Temperature,DEMO.SIM.06T34_1FD Fan Outlet Termperature,DEMO.SIM.FSAA_1FD Fan Left Inlet Flow,DEMO.SIM.FSAB_1FD Fan Right Inlet Flow
03-09-2013 07:30,29.37,34.87,0.88,35.84,55.83,37.66,31.14,257.17,255.45
03-09-2013 08:00,25.6,34.56,0.69,35.56,56.26,37.29,30.78,232.88,230.17
03-09-2013 08:30,30.15,35.21,0.68,35.23,55.46,37.28,30.51,245.08,244.96
03-09-2013 09:00,31.43,35.88,0.76,34.75,55.42,36.94,30.33,265.05,263.27
03-09-2013 09:30,32.26,36.03,0.82,34.36,55.79,36.72,29.86,267.47,265.99
03-09-2013 10:00,30.41,35.77,0.86,34.34,55.66,36.43,29.5,258.83,256.71
03-09-2013 10:30,31.6,35.97,0.85,33.57,55.79,36.18,29.92,266.11,264.21
03-09-2013 11:00,30.32,35.6,0.85,33.85,55.9,35.94,29.36,254.52,250.61
03-09-2013 11:30,28.04,34.96,0.85,33.66,55.26,35.77,29.11,240.15,241.97
03-09-2013 12:00,34.79,37.4,1.04,33.58,54.88,35.98,29.58,299.19,297.34
03-09-2013 12:30,29.13,35.53,0.63,33.81,55.4,35.59,29.24,250.18,247.31
03-09-2013 13:00,33.28,36.39,0.91,33.44,55.06,35.59,29.1,278.97,275.02
03-09-2013 13:30,36.03,37.91,1.07,32.65,55.39,35.72,29.05,302.93,299.69
03-09-2013 15:00,35.69,37.47,1.3,32.47,55.66,35.67,29.23,306.26,302.97
03-09-2013 15:30,38.59,38.93,1.39,33.13,56.28,35.71,29.88,322.88,323.61
03-09-2013 16:00,37.81,38.68,1.39,33.62,55.88,36.14,30.65,318.56,317.81
03-09-2013 16:30,44.16,41.93,1.81,33.88,56.42,36.71,31.44,363.68,362.51
03-09-2013 17:00,41.21,40.34,1.35,34.47,56.44,37.83,31.85,340.0,337.95
03-09-2013 17:30,42.14,41.2,1.89,35.24,55.83,38.53,32.74,349.63,347.96
03-09-2013 18:00,40.93,39.6,1.59,35.72,56.56,39.28,33.18,336.54,332.21
03-09-2013 18:30,45.07,42.27,1.82,36.13,56.79,40.17,33.92,366.5,365.35
03-09-2013 19:00,35.87,37.54,1.34,36.69,56.86,40.03,34.17,305.53,304.85
03-09-2013 19:30,36.27,38.02,1.31,37.52,57.15,40.21,34.65,301.77,301.06
03-09-2013 21:00,43.14,40.97,1.57,37.89,57.01,40.46,35.77,348.75,343.65
03-09-2013 21:30,43.09,40.47,1.64,38.37,57.17,40.69,35.7,340.65,336.74
03-09-2013 22:00,40.32,39.24,1.28,38.56,57.03,41.08,36.53,334.11,331.49
03-09-2013 22:30,36.87,37.72,1.27,39.45,57.35,41.15,36.83,302.72,298.2
03-09-2013 23:00,38.16,38.36,1.32,39.91,57.61,41.4,37.33,315.73,312.47
03-09-2013 23:30,42.84,41.37,1.73,40.27,57.69,41.81,38.13,352.93,348.86
03-10-2013 00:00,43.52,41.68,2.0,40.79,57.98,42.56,39.14,355.36,349.5
03-10-2013 00:30,42.19,40.63,1.95,40.81,58.62,42.78,39.23,349.93,345.71
03-10-2013 01:00,41.51,39.92,1.57,41.33,58.43,42.91,39.29,333.81,327.96
03-10-2013 01:30,45.6,42.95,2.08,41.35,58.29,42.95,39.53,365.5,360.63
03-10-2013 03:00,47.98,44.59,2.1,41.45,58.13,44.08,39.92,383.34,377.28
03-10-2013 03:30,47.09,44.05,2.13,41.43,57.71,44.06,39.34,373.01,369.64
03-10-2013 04:00,48.58,45.26,2.09,41.27,58.2,44.05,39.41,384.44,379.32
03-10-2013 04:30,46.74,44.67,2.2,40.61,58.39,43.96,38.61,381.8,376.89
03-10-2013 05:00,47.13,44.81,2.24,40.99,58.63,43.35,38.34,381.25,376.06
03-10-2013 05:30,46.05,43.06,2.02,40.59,58.2,43.2,37.95,371.07,376.95
03-10-2013 06:00,37.67,38.38,1.46,39.81,57.82,42.49,36.73,316.81,321.1
03-10-2013 06:30,37.97,38.11,1.06,39.7,57.26,41.94,36.79,312.97,312.15
03-10-2013 07:00,37.44,38.36,1.38,39.39,57.6,41.54,36.38,311.51,309.57
03-10-2013 07:30,35.78,36.8,1.15,39.21,57.51,41.55,36.33,296.21,293.31
03-10-2013 08:00,27.14,34.34,0.74,39.56,57.91,41.01,35.72,232.73,229.22
03-10-2013 08:30,28.13,34.66,0.83,39.3,56.77,40.73,35.43,240.22,239.41
