Ts,DWATT,B1VIB1,B1VIB2,B1RADVIBX,B1RADVIBY,B2VIB1,B2VIB2,B2RADVIBX,B2RADVIBY,TURBAXDISP1,TURBAXDISP2,B1TEMP1,B2TEMP1,ACTTBTEMP1,INACTTBTEMP1,LOTEMP1
7/19/2019 12:59,0.077545166,0.00346899,0.00346303,0.115203857,0.12922287,0.002080202,0.001847744,0.079059601,0.067806244,-25.00076294,-25.05459785,107.3221054,106.1649933,91.97567749,91.48220062,90.38719177
7/19/2019 13:59,0.076599121,0.003045797,0.003051758,0.11806488,0.089359283,0.001895428,0.001692772,0.114059448,0.072002411,-25.04653931,-24.0041008,107.8681412,106.7990952,92.67627716,92.20866394,90.87897491
7/19/2019 14:59,0.075500488,0.003224611,0.003248453,0.130558014,0.088405609,0.001686811,0.001591444,0.116157532,0.091362,-25.06170273,-23.98851013,107.7384567,106.7277298,92.61884308,92.09950256,90.69084167
7/19/2019 15:59,0.08013916,0.003319979,0.003409386,0.142860413,0.105571747,0.002342463,0.002038479,0.103092194,0.0664711,-25.61769485,-23.86577225,108.3272171,107.0365753,92.91931152,92.59234619,91.10440063
7/19/2019 16:59,0.074157715,0.003045797,0.003117323,0.101280212,0.086021423,0.001984835,0.001752377,0.092887878,0.075340271,-25.10652542,-24.00305176,107.3872604,106.2066956,92.11534119,91.44392395,90.14732361
7/19/2019 17:59,0.071563721,0.003033876,0.003057718,0.127410889,0.102043152,0.0017941,0.00166893,0.106239319,0.068664551,-26.00891495,-23.86837006,106.8304443,105.6752243,91.69937897,91.26112366,89.86064911
7/19/2019 18:59,0.075073242,0.003421307,0.003409386,0.084400177,0.071620941,0.002270937,0.002104044,0.087451935,0.077819824,-24.8134613,-23.93052673,107.1791,105.8541183,91.9047699,91.26395416,89.95610809
7/19/2019 19:59,0.055084229,0.003165007,0.00320673,0.062274933,0.116729736,0.001859665,0.001764297,0.072002411,0.072956085,-24.90463257,-23.85022736,107.1927414,105.6736603,91.91841888,91.21623993,90.09728241
7/19/2019 20:59,0.06817627,0.003248453,0.003355742,0.080871582,0.086212158,0.002574921,0.002169609,0.094890594,0.088024139,-24.91414642,-24.10283089,106.4211044,105.2330322,91.28517151,90.64161682,89.2507782
7/19/2019 21:59,0.064758301,0.00333786,0.003474951,0.070667267,0.095081329,0.00191927,0.001889467,0.09727478,0.070381165,-24.89874268,-24.11904335,107.2527008,105.8761368,92.05295563,91.54400635,90.5062561
