Ts,DWATT,B1VIB1,B1VIB2,B1RADVIBX,B1RADVIBY,B2VIB1,B2VIB2,B2RADVIBX,B2RADVIBY,TURBAXDISP1,TURBAXDISP2,B1TEMP1,B2TEMP1,ACTTBTEMP1,INACTTBTEMP1,LOTEMP1
6/25/2019 6:59,0.0809021,0.003367662,0.003480911,0.092983246,0.058364868,0.002348423,0.001716614,0.10509491,0.079631805,-24.4907856,-23.64814377,107.7367706,106.451355,92.69107819,92.24186707,90.46118164
6/25/2019 7:59,0.077209473,0.003778934,0.003653765,0.080871582,0.074005127,0.001859665,0.001728535,0.095939636,0.073337555,-24.31125641,-23.6301899,107.5245209,106.2649841,92.40226746,91.91012573,90.5615387
6/25/2019 8:59,0.078216553,0.003367662,0.003415346,0.101089478,0.103569031,0.001835823,0.001835823,0.092601776,0.074386597,-24.45509338,-23.95019531,107.1070099,105.9003372,91.97968292,91.7322998,90.043396
6/25/2019 9:59,0.082489014,0.00320673,0.003415346,0.082015991,0.084972382,0.002133846,0.002044439,0.096893311,0.074195862,-24.68762398,-23.89273643,107.3451996,105.9564667,92.29444122,91.92755127,90.33878326
6/25/2019 10:59,0.080169678,0.003635883,0.003606081,0.112438202,0.114345551,0.00218749,0.001853704,0.113105774,0.083255768,-24.73154068,-23.86209869,107.0561142,105.5058289,91.78025818,91.27228546,89.85079956
6/25/2019 11:59,0.079742432,0.00320673,0.003373623,0.126075745,0.081062317,0.001937151,0.001716614,0.07352829,0.069999695,-24.53589439,-23.82388115,106.6170273,105.2926559,91.48386383,90.96781921,89.48782349
6/25/2019 12:59,0.08706665,0.003433228,0.003641844,0.071334839,0.103187561,0.00180006,0.001680851,0.095272064,0.071907043,-24.43621063,-24.03695679,107.9158707,106.7702484,92.57669067,92.06361389,90.7191391
6/25/2019 13:59,0.07409668,0.003439188,0.003534555,0.111484528,0.137901306,0.002008677,0.001692772,0.08430481,0.068950653,-24.61645508,-24.8568058,107.9583282,107.1441116,92.84132385,92.50291443,90.78812408
6/25/2019 14:59,0.083557129,0.003391504,0.003302097,0.095939636,0.083255768,0.00217557,0.002133846,0.103092194,0.072383881,-24.66406822,-23.97627831,107.9431381,107.0815735,92.75227356,92.26203918,91.03256989
6/25/2019 15:59,0.082672119,0.003296137,0.003147125,0.085258484,0.093269348,0.001764297,0.001734495,0.079059601,0.079441071,-24.58586693,-23.91300201,108.1959839,107.3084335,93.08197021,92.61335754,91.08729553
