Ts,DWATT,B1VIB1,B1VIB2,B1RADVIBX,B1RADVIBY,B2VIB1,B2VIB2,B2RADVIBX,B2RADVIBY,TURBAXDISP1,TURBAXDISP2,B1TEMP1,B2TEMP1,ACTTBTEMP1,INACTTBTEMP1,LOTEMP1
1/6/2020 20:59,104.0653076,0.20249486,0.199019909,3.445053101,3.53603363,0.083643198,0.078058243,1.241588593,1.264381409,5.707000732,5.64465332,194.1364441,190.8892365,163.27948,144.39711,128.7558441
1/6/2020 21:59,164.7207642,0.206291676,0.203919411,3.72095108,3.673648834,0.096660852,0.084644556,1.343250275,1.309394836,7.928775787,8.111309052,194.7195129,191.2952576,171.56604,144.140152,128.7092285
1/6/2020 22:59,165.1721497,0.201517344,0.199371576,3.649902344,3.621578217,0.092309713,0.089114904,1.353740692,1.307201385,7.965564728,8.176826477,193.0831757,190.0981598,170.7994385,143.6361389,128.2918091
1/6/2020 23:59,103.1393738,0.210309029,0.210702419,3.396606445,3.551959991,0.08200407,0.079637766,1.313209534,1.303386688,5.625988007,5.616020203,193.6766968,190.535614,163.1089325,143.7663116,128.3605347
1/7/2020 0:59,104.4542236,0.215041637,0.216388702,3.356170654,3.561687469,0.079154968,0.074565411,1.263237,1.263904572,5.52973938,5.488754272,194.4901123,191.0788422,163.5605927,144.0455627,128.6281586
1/7/2020 1:59,104.0690918,0.2191782,0.220370293,3.407001495,3.596782684,0.083786249,0.081074238,1.268196106,1.238918304,5.435966492,5.455135345,193.7984924,190.5579224,163.519104,144.1384888,128.568573
1/7/2020 2:59,103.6452637,0.220531225,0.220614672,3.394412994,3.578090668,0.082355738,0.077575445,1.249504089,1.267910004,5.390453339,5.455375671,194.2300873,191.3278809,163.950119,144.3804779,128.936615
1/7/2020 3:59,103.7579956,0.221437216,0.222545862,3.383350372,3.529644012,0.089067221,0.076431036,1.262664795,1.295661926,5.430984497,5.430175781,193.8943176,190.9620361,163.5428314,143.9302521,128.6530457
1/7/2020 4:59,149.6676941,0.22765398,0.228619576,3.597354889,3.741264343,0.084167719,0.079083443,1.304531097,1.310634613,7.226417542,7.393836975,194.4160614,190.1975403,169.8231201,144.0551758,128.6968994
1/7/2020 5:59,165.8630981,0.208204985,0.208097696,3.692913055,3.739070892,0.089859962,0.092232227,1.320648193,1.293849945,7.87701416,8.131694794,193.0105743,191.7792511,170.9432831,144.0124054,128.8063812
1/7/2020 6:59,164.9423218,0.207173824,0.205099583,3.678131104,3.698730469,0.09599328,0.085449219,1.359558105,1.28698349,7.952999115,8.174060822,192.7710419,191.1556244,170.1281586,144.0664063,128.7896271
1/7/2020 7:59,164.3884888,0.205218792,0.204193592,3.633594513,3.61995697,0.090491772,0.080728531,1.44329071,1.272106171,7.953262329,8.239078522,193.3614655,191.6448517,169.9242249,144.0638428,128.7489929
1/7/2020 8:59,163.5617981,0.204908848,0.204837322,3.574848175,3.641891479,0.092667341,0.084215403,1.324367523,1.23758316,7.945587158,8.251358032,193.8457794,191.7386627,169.8312378,144.0373535,128.7945404
1/7/2020 9:59,162.2406921,0.197762251,0.19659996,3.577136993,3.57465744,0.089991093,0.084614754,1.353168488,1.230812073,7.966136932,8.270763397,193.8508911,189.8478851,169.9801178,144.1833344,128.7836304
1/7/2020 10:59,143.3974609,0.200408697,0.198251009,3.516674042,3.498649597,0.10291338,0.085318089,1.284503937,1.2550354,7.306407928,7.589294434,194.6101227,189.5289154,167.2078552,143.9689026,128.6488953
1/7/2020 11:59,103.3586426,0.220859051,0.220018625,3.342342377,3.565502167,0.081378222,0.075566769,1.32894516,1.224422455,5.708789825,5.736614227,194.3024139,189.4464722,163.0127716,143.9633331,128.3530731
1/7/2020 12:59,161.0116577,0.205338001,0.203728676,3.565788269,3.62663269,0.091701746,0.084221363,1.345062256,1.239776611,7.875846863,8.112262726,194.9586639,191.3680115,170.3637085,144.2450714,129.0324402
1/7/2020 13:59,143.6980286,0.213682652,0.211834908,3.562355042,3.623962402,0.103974342,0.088101625,1.275253296,1.257705688,7.317829132,7.520366669,194.5958099,190.9964752,167.408844,143.8696136,128.543808
1/7/2020 14:59,141.4438782,0.202989578,0.199818611,3.575801849,3.551483154,0.096720457,0.088012218,1.292228699,1.212406158,7.185958862,7.432220459,194.4167938,190.7125397,167.0867157,143.7905426,128.5489502
1/7/2020 15:59,103.4384766,0.223332644,0.221681595,3.377628326,3.60212326,0.079220533,0.073242188,1.292705536,1.20306015,5.59828186,5.631542206,196.2630157,190.8542328,163.382019,144.0949402,128.6636658
1/7/2020 16:59,103.4853821,0.228738785,0.227040052,3.382492065,3.612995148,0.080233812,0.076651573,1.278495789,1.191616058,5.498268127,5.531383514,194.9342651,190.3554688,163.4987335,144.0945129,128.4692993
