TS,PWR1_POWER,PF1_POWER FACTOR,JAVG_CURRENT AVG,JPH1_CURRENT PH A,JPH2_CURRENT PH B,JPH3_CURRENT PH C,TIPH1_WINDING TEMP A,TIPH2_WINDING TEMP B,TIPH3_WINDING TEMP C,TTIB_MOTOR IB BRG TEMP,TTOB_MOTOR OB BRG TEMP,VTIBX_MOTOR IB BRG VIB X,VTIBY_MOTOR IB BRG VIB Y,VTOBX_MOTOR OB BRG VIB X,VTOBY_MOTOR OB BRG VIB Y
02-01-2020 04:20,307740.6875,0.874000013,48.71939087,48.43690109,49.09158325,48.58513641,130.5106201,131.724472,128.2941895,92.05632019,181.874649,0.153837368,NaN,0.156783432,0.188789755
02-01-2020 04:30,305841.3125,0.873250008,48.58432007,48.38247299,49.02076721,48.48647308,130.5808258,131.724472,128.2941895,92.05632019,182.0345459,0.16411078,NaN,0.159092531,0.20979993
02-01-2020 04:40,306333.6563,0.872560024,48.60253906,48.40111542,49.04649353,48.51248932,130.3521118,131.5795288,128.065567,92.05632019,181.8038483,0.159918323,NaN,0.172014356,0.18625918
02-01-2020 04:50,307141.1875,0.87477231,48.66412735,48.41740417,49.1168251,48.53911972,130.1234283,131.3575745,128.065567,92.05632019,181.8038483,0.166414738,NaN,0.163317606,0.183992997
02-01-2020 05:00,306590.3438,0.872465372,48.70301056,48.44820404,49.11686325,48.54396057,129.8947449,131.266983,127.8369675,91.82912445,181.8038483,0.150929093,NaN,0.158898532,0.17764765
02-01-2020 05:10,306309.7188,0.872811913,48.84225845,48.53364944,49.05483246,48.53800201,130.1234283,131.4957275,127.9535522,91.82912445,181.8038483,0.164034486,NaN,0.152666509,0.189196765
02-01-2020 05:20,306916.5313,0.873880029,48.60311508,48.47779083,49.08583832,48.5716095,130.3521118,131.4957275,128.065567,91.82912445,181.9122772,0.15491721,NaN,0.159387663,0.182970941
02-01-2020 05:30,307441.1875,0.874009967,48.63513947,48.56327057,49.20292664,48.67801285,130.5808258,131.9532318,128.5228119,92.05632019,181.8997803,0.153950691,NaN,0.168876126,0.191471413
02-01-2020 05:40,308056.9063,0.872539222,48.70124435,48.6657486,49.29802704,48.7610321,130.5808258,131.9532318,128.4376373,92.05632019,181.8038483,0.159398437,NaN,0.175639421,0.214705512
02-01-2020 05:50,308328.5313,0.874000013,48.9702301,48.65970612,49.28490067,48.76992035,130.3521118,131.724472,128.065567,91.82912445,181.6508179,0.169182062,NaN,0.148889527,0.183162048
02-01-2020 06:00,307685.25,0.872356474,48.80208206,48.62582016,49.25896454,48.71590805,129.8947449,131.266983,127.8369675,91.60193634,181.8038483,0.15191111,NaN,0.18902348,0.195399478
02-01-2020 06:10,307448.625,0.873613894,48.76575089,48.47942352,49.12379074,48.68153,129.9445496,131.266983,127.8369675,91.60193634,181.8038483,0.151004642,NaN,0.169590741,0.182708815
02-01-2020 06:20,307578.9375,0.87492007,48.84253311,48.48264313,49.07833862,48.65903473,130.1234283,131.4957275,128.065567,91.64467621,182.0345459,0.160296023,NaN,0.166953042,0.177229315
02-01-2020 06:30,308495.8125,0.874752522,49.08183289,48.65406799,49.32913971,48.85152054,130.3521118,131.724472,128.065567,91.82912445,181.8038483,0.15908739,NaN,0.176965371,0.192644686
02-01-2020 06:40,305798.0313,0.872039676,48.85433578,48.28783417,49.01953125,48.49376678,130.3521118,131.724472,128.2941895,92.05632019,181.8038483,0.179118857,NaN,0.178023532,0.170193538
02-01-2020 06:50,307505.4375,0.874663413,48.98661423,48.44280624,49.10943604,48.62798691,130.3521118,131.724472,128.2941895,92.07431793,181.5731659,0.152062193,NaN,0.167623371,0.210220531
