Point Name,DEMO.SIM.II100,DEMO.SIM.TI101,DEMO.SIM.TI102,DEMO.SIM.XI101X,DEMO.SIM.XI101Y,DEMO.SIM.XI102X,DEMO.SIM.XI102Y
Description,MOTOR CURRENT,NDE BRNG TEMP,DE DRNG TEMP,REL VIB NDE X,REL VIB NDE Y,REL VIB DE X,REL VIB DE Y
Extended Name,,,,,,,
Extended Description,,,,,,,
Units,A,C,C,um,um,um,um
01/03/2017 01:00,478.0937466,60.99938202,53.9997673,11.66681234,11.05253401,11.65539682,16.38725616
01/03/2017 02:00,478.2131753,60.99938202,53.9997673,11.70755853,11.06587524,11.72863751,16.37253518
01/03/2017 03:00,476.9631989,60.99938202,53.9997673,11.70418937,10.93357505,11.56547469,16.38499909
01/03/2017 04:00,475.7568017,60.99938202,53.9997673,11.63984402,10.88954412,11.43214265,16.47908747
01/03/2017 05:00,476.1482818,60.99938202,53.0659901,11.63630573,10.94807896,11.47136795,16.37188989
01/03/2017 06:00,476.5218424,60.99938202,52.99878311,11.56932981,10.87491987,11.59508881,16.56180721
01/03/2017 07:00,473.0497692,60.99938202,52.99878311,11.54880863,10.80711129,11.60984224,16.56207443
01/03/2017 08:00,472.3754032,60.99938202,52.99878311,11.5931447,10.81570474,11.49476426,16.55912871
01/03/2017 09:00,470.9079247,60.99938202,52.99878311,11.46276525,10.74063435,11.48350332,16.49320724
01/03/2017 10:00,471.9702022,60.99938202,53.24043655,11.4810549,10.77461592,11.57844358,16.65695756
01/03/2017 11:00,472.8385092,60.99938202,53.91465399,11.59282374,10.91343013,11.61755443,16.53306231
01/03/2017 12:00,472.9999443,60.99938202,53.50102513,11.62492393,10.83767225,11.700677,16.52102014
01/03/2017 13:00,471.4259574,60.99938202,53.93099135,11.5982609,10.94272447,11.53814477,16.4108951
01/03/2017 14:00,470.6626218,60.99938202,53.9997673,11.66857496,11.02818293,11.45569256,16.45043905
01/03/2017 15:00,471.5981424,60.99938202,53.9997673,11.8330004,11.15379464,11.77533227,16.6583835
01/03/2017 16:00,471.7101293,60.99938202,53.9997673,11.82255159,11.20803148,11.73854128,16.5258106
01/03/2017 17:00,471.3006975,60.99938202,53.9997673,11.81415198,11.12149342,11.77407232,16.73081694
01/03/2017 18:00,468.3153189,60.99938202,53.9997673,11.66070043,11.12819366,11.60457695,16.7597516
01/03/2017 19:00,467.3475594,60.99938202,53.9997673,11.66456872,11.04853941,11.64426961,16.71371151
01/03/2017 20:00,467.402716,60.99938202,53.9997673,11.70915568,11.15021376,11.95250172,16.67999447
01/03/2017 21:00,468.4125992,60.99938202,53.9997673,11.77936498,11.21060161,12.05785014,16.86676222
