TS,PWR1_POWER,PF1_POWER FACTOR,JAVG_CURRENT AVG,JPH1_CURRENT PH A,JPH2_CURRENT PH B,JPH3_CURRENT PH C,TIPH1_WINDING TEMP A,TIPH2_WINDING TEMP B,TIPH3_WINDING TEMP C,TTIB_MOTOR IB BRG TEMP,TTOB_MOTOR OB BRG TEMP,VTIBX_MOTOR IB BRG VIB X,VTIBY_MOTOR IB BRG VIB Y,VTOBX_MOTOR OB BRG VIB X,VTOBY_MOTOR OB BRG VIB Y
12-01-2018 16:30,-130.5040283,1,0,0,0,0,72.09716797,72.32358551,72.09716797,70.28614044,75.94750214,0.003814755,NaN,0.003814755,0.001173771
12-01-2018 17:00,0,1,0,0,0,0,72.09716797,72.32358551,71.87075806,70.28614044,75.72093964,0.003189925,NaN,0.003814755,0.003814755
12-01-2018 17:30,0,1,0,0,0,0,71.87656403,72.09716797,71.87075806,70.05979919,75.72093964,0.003814755,NaN,9.78E-05,0.003814755
12-01-2018 18:00,0,1,0,0,0,0,71.87075806,72.09716797,71.64435577,70.05979919,75.72093964,0.003814755,NaN,0.003814755,0.003814755
12-01-2018 18:30,0,1,0,0,0,0,71.82238007,71.87075806,71.64435577,70.05979919,75.72093964,0,NaN,0.003814755,0.003814755
12-01-2018 19:00,0,1,0,0,0,0,71.64435577,71.87075806,71.56308746,70.05979919,75.72093964,0.003814755,NaN,0.003814755,0.003814755
12-01-2018 19:30,0,1,0,0,0,0,71.64435577,71.64435577,71.41796112,69.83347321,75.4943924,0.00198889,NaN,0.003814755,0.003814755
12-01-2018 20:00,0,1,0,0,0,0,71.41796112,71.64435577,71.41796112,69.83347321,75.26784515,0.003814755,NaN,0.003814755,0.003814755
12-01-2018 20:30,0,0.256410271,0,0,0,0,71.41796112,71.64435577,71.19158173,69.83347321,75.26784515,0.003814755,NaN,0.003814755,0.003814755
12-01-2018 21:00,0,1,0,0,0,0,71.19158173,71.41796112,71.19158173,69.83347321,75.26784515,0.003814755,NaN,0.003814755,0.003814755
12-01-2018 21:30,0,1,0,0,0,0,71.19158173,71.41796112,70.97101593,69.60715485,75.26784515,0.003814755,NaN,0.003814755,0.003814755
12-01-2018 22:00,0,1,0,0,0,0,71.19158173,71.19158173,70.96520996,69.60715485,75.24440765,0.00039463,NaN,0.003814755,0.003420126
12-01-2018 22:30,0,1,0,0,0,0,70.96520996,71.19158173,70.96520996,69.60715485,75.04130554,0.003814755,NaN,0.003814755,0.003814755
12-01-2018 23:00,0,1,0,0,0,0,70.96520996,71.19158173,70.7388382,69.38084412,74.95611572,0.003814755,NaN,0.003814755,0.002380147
12-01-2018 23:30,0,1,0,0,0,0,70.7388382,71.19158173,70.7388382,69.38084412,74.81478119,0.003814755,NaN,0.003814755,0.003814755
12-02-2018 00:00,0,1,0,0,0,0,70.7388382,70.96520996,70.7388382,69.38084412,75.04130554,0.001467214,NaN,0.003814755,0.003814755
12-02-2018 00:30,0,1,0,0,0,0,70.7388382,70.79152679,70.51248169,69.38084412,75.04130554,0.000887917,NaN,0.003814755,0.003814755
12-02-2018 01:00,0,1,0,0,0,0,70.51248169,70.7388382,70.51248169,69.38084412,74.81478119,0.000391257,NaN,0.000391257,0.003814755
12-02-2018 01:30,0,1,0,0,0,0,70.51248169,70.7388382,70.50667572,69.15454102,74.58826447,0.003814755,NaN,0.003814755,0.003814755
12-02-2018 02:00,0,1,0,0,0,0,70.47379303,70.51248169,70.28614044,69.15454102,74.36175537,0.003814755,NaN,0.003814755,0.003814755
12-02-2018 02:30,0,1,0,0,0,0,70.28614044,70.51248169,70.28614044,69.15454102,74.36175537,0.003814755,NaN,0.003814755,0.003814755
12-02-2018 03:00,0,0.405172408,0,0,0,0,70.28614044,70.51248169,70.19443512,69.15454102,74.36175537,0.003814755,NaN,0.003814755,0.003814755
12-02-2018 03:30,0,0.555555582,0,0,0,0,70.05979919,70.38673401,70.05979919,68.92824554,74.58826447,0.002119309,NaN,0.003814755,0.003814755
12-02-2018 04:00,0,1,0,0,0,0,70.05979919,70.28614044,70.05979919,68.92824554,74.58826447,0.002673589,NaN,0.003814755,0.003814755
12-02-2018 04:30,0,1,0,0,0,0,70.05979919,70.28614044,70.05979919,68.92824554,74.36175537,0.000624831,NaN,0.003814755,0.003814755
12-02-2018 05:00,0,1,0,0,0,0,70.05979919,70.05979919,69.83347321,68.92824554,74.13525391,0.003814755,NaN,0.003814755,0.003814755
12-02-2018 05:30,0,0.863247871,0,0,0,0,69.83347321,70.05979919,69.83347321,68.92824554,74.13525391,0.000521676,NaN,0.003814755,0.003814755
12-02-2018 06:00,0,0.743589759,0,0,0,0,69.83347321,70.05979919,69.83347321,68.92824554,74.36175537,0,NaN,0.003814755,0.003814755
