timestamp,Current (A) Avg Current A,Current (A) Max Current A,Current (A) Min Current A,Torque (N·m) Avg Torque Nm,Torque (N·m) Max Torque Nm,Torque (N·m) Min Torque Nm,Speed (RPM) Avg Speed RPM,Speed (RPM) Max Speed RPM,Speed (RPM) Min Speed RPM
2025-11-05 08:49:25.667,275.29,353.0,8.0,28.84,48.23,1.92,859.53,880.44,806.34
2025-11-05 08:50:45.363,338.17,475.0,303.0,32.77,46.31,27.64,850.27,880.32,806.28
2025-11-05 08:51:55.947,292.86,491.0,7.0,28.33,45.62,2.08,858.39,886.32,807.18
2025-11-05 08:53:05.560,305.71,516.0,19.0,29.45,47.94,1.93,859.04,884.52,807.3
2025-11-05 08:54:24.297,329.17,368.0,307.0,30.97,36.78,27.74,858.0,878.16,807.36
2025-11-05 08:55:32.927,344.5,414.0,308.0,33.18,39.4,29.0,858.16,875.64,822.84
2025-11-05 08:56:42.507,341.33,407.0,318.0,33.09,37.07,29.81,854.86,873.18,809.58
2025-11-05 08:57:52.107,340.5,383.0,309.0,31.71,37.41,27.38,858.84,875.46,815.7
2025-11-05 08:59:01.750,357.33,443.0,302.0,32.96,40.6,28.21,859.72,875.52,813.0
2025-11-05 09:00:11.310,363.83,454.0,311.0,33.42,38.71,29.08,857.25,876.36,809.64
2025-11-05 09:01:20.867,345.0,395.0,304.0,33.57,40.41,29.2,855.1,869.1,810.42
2025-11-05 09:02:31.467,355.67,412.0,312.0,33.26,38.99,28.9,851.58,869.64,800.46
2025-11-05 09:03:45.037,282.0,357.0,8.0,28.57,44.96,0.74,843.09,874.08,791.16
2025-11-05 09:04:56.637,350.57,539.0,237.0,34.77,51.37,27.61,857.99,895.62,807.18
2025-11-05 09:06:07.243,373.43,502.0,299.0,36.46,57.11,28.69,857.67,874.5,809.58
2025-11-05 09:07:18.853,369.57,454.0,316.0,35.39,42.87,29.42,857.83,872.46,806.1
2025-11-05 09:08:28.463,365.71,469.0,321.0,34.86,43.2,29.78,856.76,869.1,803.64
