timestamp,Current (A) Avg Current A,Current (A) Max Current A,Current (A) Min Current A,Torque (N·m) Avg Torque Nm,Torque (N·m) Max Torque Nm,Torque (N·m) Min Torque Nm,Speed (RPM) Avg Speed RPM,Speed (RPM) Max Speed RPM,Speed (RPM) Min Speed RPM
2025-11-05 08:49:30.707,505.17,600.0,460.0,42.26,50.57,37.48,851.71,869.85,798.22
2025-11-05 08:50:50.403,513.67,605.0,453.0,41.86,49.7,36.04,852.69,869.7,798.22
2025-11-05 08:52:00.993,522.17,594.0,456.0,42.38,49.25,38.01,850.44,867.6,798.97
2025-11-05 08:53:10.607,508.17,628.0,448.0,42.63,49.71,39.02,851.74,868.58,798.97
2025-11-05 08:54:28.337,530.57,750.0,439.0,43.24,61.34,35.72,850.98,868.2,797.25
2025-11-05 08:55:37.960,533.83,746.0,452.0,43.82,60.47,37.52,849.26,867.0,813.22
2025-11-05 08:56:47.557,462.71,728.0,5.0,38.29,57.94,0.41,851.25,881.63,801.15
2025-11-05 08:57:57.147,535.33,738.0,459.0,43.25,58.37,36.58,850.11,867.0,806.85
2025-11-05 08:59:06.797,536.33,700.0,471.0,43.74,57.92,39.38,850.76,866.63,804.53
2025-11-05 09:00:16.357,519.67,672.0,461.0,43.77,56.97,38.43,848.18,866.33,801.83
2025-11-05 09:01:25.907,528.33,707.0,462.0,42.54,54.38,37.35,846.29,860.03,802.5
2025-11-05 09:02:36.507,527.0,757.0,5.0,37.8,65.54,0.42,846.39,867.38,792.75
2025-11-05 09:03:50.087,505.5,584.0,445.0,41.21,48.24,35.79,842.1,860.17,799.13
2025-11-05 09:05:01.690,478.33,574.0,435.0,40.38,48.76,35.95,849.66,866.78,800.03
2025-11-05 09:06:12.287,498.17,645.0,426.0,40.81,51.35,36.26,851.14,865.28,797.55
2025-11-05 09:07:23.883,479.17,506.0,462.0,41.56,51.98,37.08,850.06,863.55,803.1
2025-11-05 09:08:33.507,513.17,714.0,458.0,41.4,53.29,37.71,845.7,860.1,792.38
2025-11-05 09:09:44.087,501.17,667.0,443.0,41.65,56.56,37.39,849.36,864.75,799.35
2025-11-05 09:10:52.627,490.17,558.0,463.0,39.71,45.04,37.62,849.33,863.55,798.38
2025-11-05 09:12:03.167,476.5,599.0,418.0,40.64,52.03,35.24,852.72,866.55,804.22
2025-11-05 09:13:11.673,486.83,578.0,437.0,42.1,54.27,35.85,852.74,865.88,799.35
2025-11-05 09:14:23.237,505.0,638.0,446.0,40.71,48.9,37.41,851.56,864.22,799.88
2025-11-05 09:15:34.817,473.67,559.0,425.0,38.61,43.92,35.54,849.57,866.63,790.88
2025-11-05 09:16:44.383,488.67,631.0,439.0,40.62,56.5,35.37,849.84,865.28,797.55
2025-11-05 09:17:55.983,500.17,686.0,439.0,42.33,62.36,35.79,849.25,866.33,794.92
2025-11-05 09:19:04.567,503.33,683.0,452.0,41.91,57.94,36.9,848.4,865.28,793.42
2025-11-05 09:20:14.193,489.67,658.0,436.0,41.21,57.63,35.65,850.73,867.53,796.88
2025-11-05 09:21:23.793,483.5,615.0,435.0,39.23,45.99,36.1,852.43,867.83,798.9
2025-11-05 09:22:35.380,498.0,701.0,436.0,41.09,58.11,36.02,853.79,872.1,795.75
2025-11-05 09:23:43.947,502.67,740.0,439.0,41.4,58.02,37.19,851.71,869.25,799.13
2025-11-05 09:24:53.500,472.33,520.0,436.0,39.42,45.05,36.29,851.72,867.75,799.05
2025-11-05 09:26:03.060,490.0,604.0,443.0,38.98,45.65,36.46,852.0,866.33,800.4
2025-11-05 09:27:13.620,465.83,517.0,427.0,39.55,50.9,35.32,854.48,871.05,799.95
2025-11-05 09:28:23.177,495.17,621.0,425.0,40.15,51.32,35.42,854.11,870.75,790.88
2025-11-05 09:29:32.753,484.33,598.0,437.0,39.04,45.19,36.19,851.79,868.72,791.7
2025-11-05 09:30:42.337,484.5,601.0,426.0,39.4,49.08,34.76,852.45,869.63,794.85
2025-11-05 09:31:52.960,483.33,639.0,425.0,39.77,49.33,34.12,855.97,871.58,802.35
2025-11-05 09:33:01.527,481.83,638.0,408.0,40.81,51.24,35.66,853.72,871.05,793.13
2025-11-05 09:34:12.110,453.17,502.0,395.0,41.93,48.64,36.58,849.99,869.92,798.6
2025-11-05 09:35:21.697,490.33,606.0,433.0,40.29,49.74,36.01,856.47,872.1,799.8
