timestamp,Current (A) Avg Current A,Current (A) Max Current A,Current (A) Min Current A,Torque (N·m) Avg Torque Nm,Torque (N·m) Max Torque Nm,Torque (N·m) Min Torque Nm,Speed (RPM) Avg Speed RPM,Speed (RPM) Max Speed RPM,Speed (RPM) Min Speed RPM
2025-11-05 08:48:37.257,784.71,1028.0,0.0,27.05,30.02,22.22,985.17,1038.15,972.22
2025-11-05 08:49:46.850,906.0,992.0,849.0,28.64,31.1,27.32,974.34,978.22,971.1
2025-11-05 08:51:06.537,896.67,969.0,858.0,28.38,30.22,27.24,973.3,976.5,970.5
2025-11-05 08:52:16.107,893.0,940.0,853.0,28.14,29.44,27.36,974.99,977.25,971.92
2025-11-05 08:53:26.757,908.33,1006.0,860.0,28.54,30.6,27.5,974.4,976.65,970.05
2025-11-05 08:54:43.473,883.33,932.0,837.0,28.0,29.84,27.12,975.98,980.92,972.15
2025-11-05 08:55:54.093,881.0,919.0,852.0,28.05,29.66,27.08,976.16,981.15,973.58
2025-11-05 08:57:03.693,877.5,928.0,843.0,28.0,29.58,27.12,974.81,979.13,972.15
2025-11-05 08:58:13.287,883.67,936.0,841.0,28.04,29.6,27.1,976.06,981.3,973.65
2025-11-05 08:59:21.930,876.6,907.0,828.0,28.02,29.14,26.74,975.54,979.65,971.33
2025-11-05 09:00:32.497,875.67,912.0,836.0,27.88,29.24,27.0,975.14,978.67,972.53
2025-11-05 09:01:41.037,899.67,934.0,870.0,28.79,29.5,27.96,970.66,971.78,968.85
2025-11-05 09:02:52.630,895.33,921.0,862.0,28.76,29.88,27.94,967.6,968.17,966.97
2025-11-05 09:04:06.227,896.67,939.0,877.0,28.75,30.1,28.06,966.65,972.53,948.08
2025-11-05 09:05:17.827,902.57,964.0,847.0,28.92,30.4,27.98,970.54,974.7,967.05
2025-11-05 09:06:28.417,910.57,947.0,862.0,28.12,30.38,23.32,970.18,978.08,960.97
2025-11-05 09:07:40.017,901.83,948.0,885.0,29.07,29.86,28.24,969.34,971.25,968.47
2025-11-05 09:08:49.660,897.86,957.0,849.0,26.09,29.82,9.86,965.23,970.13,945.22
2025-11-05 09:10:00.197,897.0,924.0,870.0,28.91,29.7,27.92,969.01,970.88,967.72
2025-11-05 09:11:09.753,905.43,1047.0,782.0,27.66,30.18,19.28,967.54,970.42,957.83
2025-11-05 09:12:19.267,898.29,948.0,862.0,27.92,30.56,22.74,968.08,975.67,958.65
2025-11-05 09:13:28.823,796.57,1067.0,0.0,26.42,30.38,12.94,981.27,1040.47,968.7
2025-11-05 09:14:39.370,887.14,1001.0,841.0,26.95,29.88,20.5,964.64,969.22,959.4
2025-11-05 09:15:49.933,795.57,942.0,219.0,25.09,30.2,3.36,971.62,986.25,968.17
2025-11-05 09:17:00.517,900.0,957.0,873.0,28.69,29.88,27.76,970.34,971.55,968.1
2025-11-05 09:18:10.120,904.67,954.0,874.0,28.62,29.38,27.66,969.14,970.13,968.03
2025-11-05 09:19:20.727,891.67,915.0,870.0,28.6,29.4,27.8,969.98,971.33,967.95
2025-11-05 09:20:31.330,885.83,910.0,851.0,28.56,29.36,27.72,969.34,970.2,967.8
2025-11-05 09:21:39.927,882.86,980.0,776.0,26.98,29.9,16.9,968.74,971.78,961.95
2025-11-05 09:22:50.503,880.67,921.0,857.0,28.16,29.88,27.04,966.9,973.28,962.4
2025-11-05 09:24:00.070,906.0,942.0,881.0,28.8,29.62,27.84,971.13,971.7,970.13
2025-11-05 09:25:09.620,873.71,946.0,726.0,26.66,29.74,14.1,967.74,972.0,950.25
2025-11-05 09:26:19.193,867.14,942.0,797.0,26.98,29.62,17.8,967.39,970.95,951.38
2025-11-05 09:27:28.737,875.29,961.0,798.0,26.97,29.62,18.2,968.66,973.13,952.58
2025-11-05 09:28:39.283,911.86,1043.0,873.0,28.16,29.96,26.24,972.32,975.0,968.17
2025-11-05 09:29:49.907,871.0,933.0,786.0,27.08,29.68,18.68,968.25,972.08,955.95
2025-11-05 09:30:58.473,908.0,994.0,848.0,28.33,29.8,27.56,971.81,979.58,968.47
2025-11-05 09:32:08.090,895.57,981.0,854.0,27.82,29.82,24.84,970.53,973.42,966.97
2025-11-05 09:33:18.663,884.86,1053.0,818.0,27.39,29.22,26.48,971.09,989.33,963.6
2025-11-05 09:34:27.233,754.71,909.0,57.0,28.55,30.1,27.6,979.81,1036.43,965.03
2025-11-05 09:35:37.840,897.86,999.0,848.0,28.35,30.06,27.56,973.88,985.72,969.08
2025-11-05 09:36:47.410,784.14,1035.0,2.0,26.72,29.7,17.46,982.99,1040.03,969.53
2025-11-05 09:37:58.957,909.86,1056.0,843.0,27.33,29.22,25.26,966.24,969.9,960.67
2025-11-05 09:39:09.577,859.43,938.0,741.0,25.74,29.76,10.36,967.83,972.53,951.75
2025-11-05 09:40:19.143,870.14,945.0,730.0,26.87,30.24,15.62,969.71,975.67,950.4
2025-11-05 09:41:28.710,880.57,917.0,797.0,27.78,29.98,22.72,974.54,997.2,962.03
2025-11-05 09:42:39.280,869.0,942.0,777.0,27.21,30.06,20.16,970.47,973.5,962.92
2025-11-05 09:43:48.900,756.57,935.0,0.0,26.31,29.98,14.0,981.36,1039.88,969.0
2025-11-05 09:44:58.453,755.14,931.0,0.0,27.13,30.1,19.86,980.41,1038.07,966.0
2025-11-05 09:46:09.987,884.71,963.0,796.0,26.99,29.9,19.04,969.24,975.6,954.53
2025-11-05 09:47:19.487,891.0,1068.0,820.0,24.2,29.36,2.34,963.11,969.75,943.05
2025-11-05 09:48:29.077,878.86,971.0,777.0,27.0,29.88,18.98,970.32,974.55,957.38
2025-11-05 09:49:38.683,756.57,933.0,0.0,25.97,29.56,13.28,982.52,1037.55,969.15
2025-11-05 09:50:49.233,891.57,955.0,855.0,28.16,30.02,27.62,972.86,977.25,969.0
2025-11-05 09:51:57.767,784.0,1041.0,0.0,28.16,30.4,26.5,981.09,1041.0,968.85
2025-11-05 09:53:22.440,891.33,933.0,855.0,28.48,29.8,27.48,971.71,976.5,969.3
2025-11-05 09:54:31.983,893.83,921.0,875.0,28.56,29.42,27.64,971.3,973.8,969.38
2025-11-05 09:55:42.557,890.33,938.0,837.0,28.5,29.82,27.3,971.86,976.13,968.85
2025-11-05 09:56:52.150,896.0,927.0,857.0,28.49,29.52,27.34,972.14,976.65,967.95
2025-11-05 09:58:00.673,894.83,949.0,865.0,28.48,29.84,27.5,970.95,973.8,969.45
2025-11-05 09:59:11.247,879.67,950.0,850.0,28.37,29.92,27.42,971.24,972.9,970.13
2025-11-05 10:00:21.810,884.83,922.0,849.0,28.45,29.54,27.22,972.03,975.9,968.55
2025-11-05 10:01:32.323,871.83,920.0,839.0,27.88,29.2,26.76,968.0,971.1,964.42
2025-11-05 10:02:40.913,888.83,944.0,849.0,28.49,29.88,27.6,973.38,976.35,969.53
2025-11-05 10:03:50.517,883.33,927.0,860.0,28.41,29.54,27.42,972.67,975.9,969.0
2025-11-05 10:05:01.077,859.17,881.0,845.0,27.85,29.22,26.94,968.72,972.45,963.53
2025-11-05 10:06:11.683,867.0,927.0,841.0,27.77,29.18,26.6,968.54,973.05,963.22
2025-11-05 10:20:12.677,,,,,,,,,
2025-11-05 10:21:02.083,48.5,49.0,48.0,1.4,1.4,1.4,979.39,979.5,979.28
