timestamp,Current (A) Avg Current A,Current (A) Max Current A,Current (A) Min Current A,Torque (N·m) Avg Torque Nm,Torque (N·m) Max Torque Nm,Torque (N·m) Min Torque Nm,Speed (RPM) Avg Speed RPM,Speed (RPM) Max Speed RPM,Speed (RPM) Min Speed RPM
2025-11-05 08:48:38.270,915.86,1145.0,1.0,35.71,37.74,34.28,918.14,951.83,910.8
2025-11-05 08:49:46.850,1082.5,1170.0,1018.0,36.73,39.52,34.98,912.69,915.38,910.28
2025-11-05 08:51:07.543,932.29,1195.0,1.0,32.37,39.14,7.08,915.15,930.38,911.17
2025-11-05 08:52:17.120,1061.83,1156.0,999.0,36.16,37.54,34.92,912.06,913.42,910.2
2025-11-05 08:53:26.760,1073.33,1167.0,1035.0,36.54,39.2,35.4,912.39,914.55,908.7
2025-11-05 08:54:44.483,1040.33,1066.0,1019.0,35.46,36.08,34.66,912.74,914.4,910.42
2025-11-05 08:55:54.097,1038.0,1065.0,980.0,35.48,35.86,34.72,912.49,914.47,910.88
2025-11-05 08:57:03.693,1039.17,1063.0,1012.0,35.51,35.9,34.88,911.95,913.35,911.1
2025-11-05 08:58:13.287,1048.67,1075.0,1025.0,35.55,36.44,34.72,912.55,913.88,910.95
2025-11-05 08:59:22.937,1060.6,1108.0,1028.0,35.71,36.7,35.1,912.69,914.63,911.03
2025-11-05 09:00:33.503,1045.5,1085.0,1017.0,35.31,36.14,34.54,912.6,914.55,911.92
2025-11-05 09:01:42.047,1084.5,1143.0,1049.0,36.44,37.42,35.72,912.49,913.58,911.47
2025-11-05 09:02:52.630,1084.17,1122.0,1053.0,36.86,37.78,36.06,912.01,915.08,910.05
2025-11-05 09:04:07.233,956.86,1257.0,1.0,35.83,39.06,27.44,917.26,944.92,911.63
2025-11-05 09:05:18.843,1105.57,1190.0,1027.0,37.27,38.86,36.32,912.86,914.92,910.58
2025-11-05 09:06:28.417,1105.43,1265.0,1047.0,36.19,38.56,31.44,911.46,913.35,908.17
2025-11-05 09:07:40.017,1091.33,1123.0,1062.0,37.36,37.92,36.52,912.64,914.7,910.5
2025-11-05 09:08:50.670,1099.67,1145.0,1060.0,37.05,37.8,36.26,913.2,914.7,909.75
