timestamp,Current (A) Avg Current A,Current (A) Max Current A,Current (A) Min Current A,Torque (N·m) Avg Torque Nm,Torque (N·m) Max Torque Nm,Torque (N·m) Min Torque Nm,Speed (RPM) Avg Speed RPM,Speed (RPM) Max Speed RPM,Speed (RPM) Min Speed RPM
2025-11-05 08:49:12.550,451.67,560.0,410.0,35.92,44.19,33.01,505.47,518.37,475.29
2025-11-05 08:50:31.243,445.17,541.0,407.0,35.03,41.92,32.77,498.48,519.0,474.78
2025-11-05 08:51:41.833,442.0,558.0,395.0,35.45,43.39,33.42,505.88,521.07,477.3
2025-11-05 08:52:52.443,468.17,589.0,404.0,35.9,43.49,32.49,506.45,519.6,478.32
2025-11-05 08:54:10.147,433.67,474.0,382.0,34.11,38.38,32.52,504.01,521.49,478.68
2025-11-05 08:55:18.793,468.43,550.0,398.0,35.74,41.15,32.96,509.97,522.9,488.58
2025-11-05 08:56:29.393,463.29,535.0,405.0,35.92,42.85,32.96,508.97,520.23,480.57
2025-11-05 08:57:38.993,458.71,549.0,405.0,35.29,42.32,32.17,510.56,520.53,483.99
2025-11-05 08:58:47.607,466.57,568.0,410.0,32.48,44.72,9.54,513.33,531.72,483.27
2025-11-05 08:59:58.203,472.25,583.0,403.0,36.75,45.02,31.79,511.55,520.83,481.53
2025-11-05 09:01:06.773,411.71,619.0,3.0,30.91,46.02,0.84,514.25,539.16,481.17
2025-11-05 09:02:17.350,457.86,543.0,398.0,35.61,42.42,32.33,506.88,517.26,475.56
2025-11-05 09:03:31.950,439.83,557.0,405.0,34.13,41.03,31.36,498.71,518.25,471.03
2025-11-05 09:04:42.523,440.83,570.0,384.0,34.38,42.42,30.98,506.28,520.8,479.28
2025-11-05 09:05:54.120,445.5,595.0,386.0,35.01,44.6,30.88,508.62,520.14,478.08
2025-11-05 09:07:04.727,395.0,546.0,4.0,30.96,44.03,0.33,512.01,531.69,479.64
2025-11-05 09:08:15.317,382.71,557.0,4.0,30.19,43.07,0.33,510.84,530.73,476.91
2025-11-05 09:09:25.937,387.29,556.0,4.0,29.87,43.56,0.35,510.92,536.4,476.4
2025-11-05 09:10:35.507,395.86,553.0,4.0,30.42,42.26,0.37,511.06,530.52,476.19
2025-11-05 09:11:45.027,444.17,577.0,19.0,34.65,43.93,0.81,508.37,518.19,480.42
2025-11-05 09:12:54.543,462.5,577.0,409.0,34.69,42.25,31.18,508.01,518.4,475.68
2025-11-05 09:14:05.113,391.57,574.0,4.0,30.85,43.79,0.33,509.61,528.48,477.12
2025-11-05 09:15:15.643,383.71,590.0,4.0,29.74,43.68,0.33,507.87,520.92,468.09
2025-11-05 09:16:26.240,378.43,541.0,4.0,29.99,45.92,0.33,510.7,533.7,473.73
2025-11-05 09:17:36.827,450.43,568.0,410.0,30.09,42.76,2.23,511.84,539.94,473.73
