timestamp,Current (A) Avg Current A,Current (A) Max Current A,Current (A) Min Current A,Torque (N·m) Avg Torque Nm,Torque (N·m) Max Torque Nm,Torque (N·m) Min Torque Nm,Speed (RPM) Avg Speed RPM,Speed (RPM) Max Speed RPM,Speed (RPM) Min Speed RPM
2025-11-05 08:48:33.217,460.0,517.0,431.0,18.85,19.99,17.89,1007.74,1013.25,994.65
2025-11-05 08:49:41.803,462.83,502.0,440.0,19.81,23.38,18.11,1002.06,1013.4,978.15
2025-11-05 08:51:01.490,466.17,486.0,444.0,19.28,22.95,17.3,1002.23,1013.7,980.47
2025-11-05 08:52:11.057,454.0,486.0,392.0,18.88,20.3,17.64,998.76,1010.47,981.0
2025-11-05 08:53:21.717,452.0,466.0,427.0,19.34,21.2,18.29,998.86,1011.83,976.05
2025-11-05 08:54:39.433,483.86,605.0,430.0,20.04,25.11,17.56,996.09,1010.47,963.3
2025-11-05 08:55:49.053,461.33,490.0,433.0,19.14,21.44,17.83,996.69,1008.83,957.9
2025-11-05 08:56:58.653,465.83,520.0,434.0,19.21,21.58,0.48,995.49,1006.42,962.78
2025-11-05 08:58:08.243,424.86,682.0,12.0,17.15,20.54,4.83,997.47,1009.13,969.53
2025-11-05 08:59:17.897,490.5,698.0,423.0,19.71,25.3,17.7,1000.1,1008.75,976.65
2025-11-05 09:00:27.470,464.67,548.0,424.0,18.89,20.96,17.32,999.1,1007.92,967.88
2025-11-05 09:01:36.000,461.0,522.0,426.0,19.13,21.52,17.81,994.36,1000.05,981.83
2025-11-05 09:02:47.593,396.86,492.0,11.0,16.86,22.83,0.51,987.85,1001.25,955.88
2025-11-05 09:04:02.197,459.33,493.0,424.0,19.22,21.57,18.11,987.6,1001.33,946.88
2025-11-05 09:05:12.780,422.67,476.0,301.0,17.54,20.53,12.45,997.5,1008.45,975.45
2025-11-05 09:06:23.377,453.5,514.0,428.0,18.72,20.48,17.5,1000.48,1006.88,989.03
2025-11-05 09:07:34.977,442.67,486.0,391.0,18.87,20.01,18.37,999.98,1004.17,992.92
2025-11-05 09:08:44.620,459.0,530.0,421.0,18.54,19.79,17.61,996.71,1001.1,988.28
2025-11-05 09:09:55.163,460.5,516.0,436.0,19.59,22.35,17.94,1000.44,1006.28,984.3
2025-11-05 09:11:04.710,450.67,470.0,438.0,18.32,19.22,17.59,999.69,1004.7,993.67
2025-11-05 09:12:14.230,450.33,506.0,419.0,19.36,25.61,17.37,1002.04,1008.83,993.0
2025-11-05 09:13:23.787,448.83,496.0,429.0,18.53,19.52,17.6,1001.93,1007.4,988.28
2025-11-05 09:14:34.327,458.33,551.0,431.0,18.73,20.29,17.92,1001.85,1005.75,997.13
2025-11-05 09:15:45.897,455.33,522.0,423.0,18.8,21.42,17.32,1002.35,1008.83,984.22
2025-11-05 09:16:55.477,449.17,497.0,421.0,18.71,21.32,17.6,1001.95,1007.78,986.78
2025-11-05 09:18:06.087,454.17,539.0,407.0,18.94,22.32,17.28,1001.04,1008.38,984.75
2025-11-05 09:19:15.677,452.33,509.0,426.0,18.99,22.02,17.93,1000.04,1006.65,983.92
2025-11-05 09:20:25.287,445.83,503.0,423.0,18.9,22.15,17.98,1001.86,1009.28,987.38
2025-11-05 09:21:34.887,430.5,443.0,417.0,18.61,20.68,17.69,1005.35,1010.03,996.08
2025-11-05 09:22:46.467,452.0,507.0,419.0,18.61,21.5,17.14,1008.19,1014.83,984.08
2025-11-05 09:23:55.027,455.5,506.0,424.0,18.83,21.51,17.6,1004.58,1011.9,984.3
2025-11-05 09:25:04.580,462.0,550.0,436.0,18.86,21.61,18.08,1004.17,1010.17,988.95
2025-11-05 09:26:14.143,463.67,555.0,432.0,18.71,19.66,17.85,1002.49,1008.83,994.5
2025-11-05 09:27:23.687,443.5,506.0,414.0,18.24,19.8,17.59,1006.8,1013.78,994.42
2025-11-05 09:28:34.243,439.33,520.0,393.0,18.12,19.22,17.31,1007.41,1013.4,998.78
2025-11-05 09:29:44.857,433.5,468.0,386.0,18.2,19.45,17.59,1004.17,1011.75,993.97
2025-11-05 09:30:53.437,450.83,479.0,426.0,17.7,18.93,16.63,1003.94,1012.2,989.1
2025-11-05 09:32:04.057,446.67,496.0,425.0,18.46,21.24,17.1,1007.18,1014.3,997.88
2025-11-05 09:33:13.627,452.0,508.0,416.0,18.57,19.64,17.52,1006.08,1015.13,994.2
2025-11-05 09:34:23.207,429.83,473.0,356.0,18.56,20.44,17.51,998.22,1012.13,967.35
2025-11-05 09:35:33.803,439.0,461.0,418.0,17.83,18.91,17.26,1008.94,1015.28,1000.2
2025-11-05 09:36:42.370,452.17,503.0,431.0,18.78,21.03,17.59,1004.69,1011.67,989.33
2025-11-05 09:37:53.910,450.33,511.0,419.0,18.29,21.85,17.01,1009.81,1015.65,1002.6
2025-11-05 09:39:04.527,446.0,504.0,422.0,19.38,23.31,17.27,1006.11,1013.47,992.25
2025-11-05 09:40:14.097,459.5,520.0,426.0,18.6,20.09,17.16,1005.86,1014.6,994.28
2025-11-05 09:41:23.677,452.33,504.0,427.0,18.8,21.14,17.3,1003.63,1012.95,990.83
2025-11-05 09:42:35.250,442.83,458.0,427.0,18.73,21.21,17.61,1003.39,1011.3,991.42
2025-11-05 09:43:43.857,425.67,476.0,310.0,17.91,20.72,16.21,998.65,1010.63,972.97
2025-11-05 09:44:54.423,441.67,487.0,410.0,19.03,22.54,17.36,1001.68,1014.0,968.4
2025-11-05 09:46:04.937,445.5,495.0,419.0,18.13,19.23,17.46,1004.94,1014.15,994.65
2025-11-05 09:47:15.460,458.0,535.0,427.0,19.05,21.99,17.41,1004.73,1013.4,989.4
2025-11-05 09:48:24.033,449.5,466.0,436.0,18.13,19.0,17.53,1007.54,1012.88,995.4
2025-11-05 09:49:33.633,435.5,512.0,359.0,18.02,20.86,15.48,1005.17,1012.95,990.97
2025-11-05 09:50:44.183,432.33,529.0,300.0,17.78,20.29,14.13,1001.39,1011.6,976.95
2025-11-05 09:51:53.730,457.83,508.0,426.0,18.87,21.1,17.51,1007.16,1013.78,993.67
