timestamp,Current (A) Avg Current A,Current (A) Max Current A,Current (A) Min Current A,Torque (N·m) Avg Torque Nm,Torque (N·m) Max Torque Nm,Torque (N·m) Min Torque Nm,Speed (RPM) Avg Speed RPM,Speed (RPM) Max Speed RPM,Speed (RPM) Min Speed RPM
2025-11-05 08:49:36.757,666.29,902.0,20.0,46.24,65.88,0.8,1203.54,1226.4,1125.38
2025-11-05 08:50:57.457,660.86,906.0,12.0,46.82,66.56,7.91,1201.72,1227.07,1124.7
2025-11-05 08:52:07.037,634.29,824.0,12.0,44.25,57.99,0.8,1199.89,1223.55,1126.28
2025-11-05 08:53:16.663,777.0,890.0,741.0,53.58,62.15,49.35,1200.54,1224.97,1125.0
2025-11-05 08:54:34.387,747.0,791.0,728.0,50.26,54.38,46.35,1212.66,1224.15,1172.93
2025-11-05 08:55:44.007,747.83,819.0,697.0,51.45,54.95,49.11,1208.75,1222.57,1166.85
2025-11-05 08:56:53.603,738.5,763.0,707.0,52.21,58.85,49.51,1207.16,1219.65,1171.35
2025-11-05 08:58:03.197,748.33,793.0,719.0,51.19,54.23,48.88,1212.76,1222.95,1177.35
2025-11-05 08:59:12.847,755.5,802.0,704.0,51.76,54.04,48.13,1212.55,1222.35,1189.05
2025-11-05 09:00:22.420,741.5,788.0,705.0,51.45,55.26,47.89,1211.15,1221.68,1176.38
2025-11-05 09:01:30.957,742.17,785.0,702.0,50.67,55.09,44.65,1206.16,1212.15,1191.38
2025-11-05 09:02:43.577,722.5,764.0,693.0,51.79,62.53,48.5,1204.2,1213.72,1177.13
2025-11-05 09:03:57.147,740.0,806.0,693.0,43.68,59.27,0.94,1192.2,1219.13,1127.25
2025-11-05 09:05:07.740,701.14,819.0,445.0,52.98,58.75,47.91,1195.47,1221.9,1127.4
2025-11-05 09:06:19.347,766.43,940.0,700.0,53.27,66.21,47.36,1199.76,1220.25,1119.9
2025-11-05 09:07:29.943,780.86,892.0,702.0,56.4,80.43,50.01,1205.83,1217.32,1171.57
2025-11-05 09:08:40.567,732.0,798.0,655.0,50.97,53.56,47.77,1207.79,1212.6,1197.75
2025-11-05 09:09:51.137,751.67,796.0,717.0,52.29,58.22,47.39,1212.33,1219.43,1193.4
2025-11-05 09:10:59.687,798.0,1033.0,703.0,54.64,76.08,49.16,1204.56,1217.78,1164.07
2025-11-05 09:12:10.217,777.0,910.0,698.0,51.94,60.76,46.81,1212.21,1221.9,1192.35
2025-11-05 09:13:18.747,761.71,880.0,697.0,54.89,68.62,48.14,1200.43,1220.32,1126.5
2025-11-05 09:14:30.293,764.0,860.0,708.0,52.33,60.27,48.72,1214.2,1218.68,1207.13
2025-11-05 09:15:40.857,721.83,778.0,699.0,50.77,55.23,47.5,1214.76,1222.2,1193.55
2025-11-05 09:16:50.440,736.5,798.0,699.0,51.18,57.19,47.52,1214.04,1220.25,1196.63
2025-11-05 09:18:01.037,721.33,769.0,703.0,50.64,56.69,46.9,1212.49,1221.6,1194.38
2025-11-05 09:19:11.637,743.5,799.0,703.0,51.81,56.0,48.38,1211.75,1220.25,1193.1
2025-11-05 09:20:21.253,744.5,816.0,692.0,51.14,55.94,47.52,1214.05,1223.32,1197.68
2025-11-05 09:21:29.850,765.0,932.0,704.0,51.87,57.38,47.62,1209.31,1223.85,1158.22
2025-11-05 09:22:41.427,758.5,802.0,695.0,50.85,55.22,47.64,1221.67,1230.07,1193.78
2025-11-05 09:23:50.993,743.83,789.0,704.0,50.74,54.18,47.67,1217.23,1225.8,1193.55
2025-11-05 09:25:00.547,741.83,796.0,701.0,51.1,56.01,48.37,1216.79,1224.0,1199.25
2025-11-05 09:26:10.120,747.17,812.0,710.0,51.07,54.94,48.55,1214.66,1222.13,1204.05
2025-11-05 09:27:19.653,788.14,1069.0,695.0,52.28,63.26,47.42,1210.02,1228.65,1153.13
2025-11-05 09:28:30.213,748.33,861.0,701.0,50.49,57.47,46.62,1220.65,1227.68,1210.43
2025-11-05 09:29:39.817,779.29,931.0,705.0,53.38,63.22,48.59,1205.54,1225.28,1137.97
2025-11-05 09:30:49.407,737.86,888.0,631.0,51.05,61.57,46.81,1200.65,1226.4,1120.65
2025-11-05 09:31:59.007,736.29,776.0,695.0,52.92,65.65,45.68,1207.58,1229.03,1128.22
2025-11-05 09:33:08.577,771.14,881.0,682.0,53.86,66.77,47.31,1201.53,1228.65,1115.78
2025-11-05 09:34:18.160,762.86,1116.0,529.0,53.81,63.24,47.69,1195.61,1226.1,1125.22
2025-11-05 09:35:28.763,770.14,931.0,710.0,51.78,66.34,47.63,1208.66,1229.63,1127.7
2025-11-05 09:36:37.323,765.86,893.0,693.0,52.1,61.21,47.28,1204.16,1225.8,1114.95
2025-11-05 09:37:48.867,771.14,901.0,703.0,52.47,68.74,47.99,1209.12,1230.45,1121.85
2025-11-05 09:39:00.483,763.83,840.0,703.0,52.4,59.98,47.59,1219.21,1228.35,1202.93
2025-11-05 09:40:09.053,766.29,929.0,708.0,54.3,71.51,47.8,1210.54,1229.7,1160.25
2025-11-05 09:41:19.643,760.57,885.0,701.0,53.0,65.75,48.13,1201.47,1227.53,1110.45
2025-11-05 09:42:30.207,742.67,807.0,708.0,51.15,57.57,48.51,1215.28,1224.82,1198.57
2025-11-05 09:43:38.807,746.86,823.0,710.0,51.49,57.71,48.85,1194.01,1224.45,1120.35
2025-11-05 09:44:49.383,717.29,767.0,621.0,53.14,64.83,47.86,1199.37,1227.97,1124.93
2025-11-05 09:45:59.890,756.71,905.0,685.0,53.76,70.09,48.1,1203.87,1228.5,1122.68
2025-11-05 09:47:10.427,753.67,789.0,719.0,52.81,59.26,49.62,1217.45,1227.6,1199.63
2025-11-05 09:48:20.007,747.5,810.0,701.0,49.83,53.77,48.3,1220.54,1226.85,1206.07
2025-11-05 09:49:29.603,652.14,913.0,16.0,45.64,70.21,0.84,1208.38,1229.85,1126.43
2025-11-05 09:50:39.150,742.57,800.0,706.0,49.76,58.57,42.39,1200.36,1225.43,1128.07
2025-11-05 09:51:48.693,749.29,862.0,678.0,53.58,61.92,48.87,1205.46,1227.75,1129.13
2025-11-05 09:53:13.367,744.33,832.0,698.0,51.89,55.64,48.33,1216.26,1228.72,1173.22
2025-11-05 09:54:21.900,753.33,799.0,706.0,51.52,54.69,47.92,1217.79,1225.88,1194.53
2025-11-05 09:55:33.490,742.0,801.0,681.0,51.21,54.98,47.91,1221.74,1230.53,1194.0
2025-11-05 09:56:43.073,756.0,843.0,708.0,51.25,54.59,47.67,1220.51,1230.45,1194.22
2025-11-05 09:57:51.600,747.0,788.0,710.0,51.33,57.72,47.87,1221.65,1229.25,1198.05
2025-11-05 09:59:02.173,766.17,825.0,713.0,51.45,56.05,48.43,1220.9,1228.5,1200.97
2025-11-05 10:00:12.737,751.67,791.0,711.0,51.59,54.4,47.94,1219.54,1228.35,1193.78
2025-11-05 10:01:22.240,742.17,781.0,697.0,50.39,54.66,48.11,1223.21,1231.88,1197.22
2025-11-05 10:02:31.837,746.17,798.0,696.0,50.81,55.79,47.51,1224.15,1232.63,1194.3
2025-11-05 10:03:41.450,748.83,798.0,718.0,51.49,55.73,47.87,1222.71,1231.13,1193.7
2025-11-05 10:04:51.993,750.67,793.0,714.0,51.69,55.88,47.9,1223.67,1231.72,1194.0
2025-11-05 10:06:01.597,756.0,801.0,709.0,51.23,54.4,47.59,1223.39,1233.0,1193.93
2025-11-05 10:20:50.993,33.0,35.0,31.0,2.36,2.43,2.28,1191.53,1220.78,1162.28
2025-11-05 10:21:14.187,,,,,,,,,
2025-11-05 10:22:54.030,650.0,672.0,632.0,44.99,51.76,42.26,1200.29,1218.6,1136.78
2025-11-05 10:26:13.603,692.5,722.0,660.0,48.71,54.69,46.31,1204.18,1212.38,1178.1
2025-11-05 10:27:24.103,700.0,745.0,675.0,48.65,53.08,46.25,1196.68,1215.75,1151.1
2025-11-05 10:28:37.683,599.86,729.0,11.0,43.07,58.45,0.82,1187.7,1214.93,1123.8
2025-11-05 10:29:49.207,744.14,834.0,699.0,52.03,60.34,47.91,1186.82,1215.45,1121.78
2025-11-05 10:30:59.740,721.71,793.0,688.0,53.17,66.85,46.78,1183.26,1199.32,1139.03
2025-11-05 10:32:10.243,733.5,816.0,686.0,49.33,51.42,46.59,1187.35,1199.78,1143.45
2025-11-05 10:33:20.783,726.33,824.0,674.0,50.32,55.91,47.4,1187.61,1199.32,1147.8
2025-11-05 10:34:31.273,697.17,772.0,627.0,50.16,55.83,46.57,1186.25,1197.38,1142.47
2025-11-05 10:35:40.770,684.83,748.0,622.0,48.92,55.75,46.31,1184.88,1197.07,1148.4
2025-11-05 10:36:50.270,722.67,796.0,668.0,50.28,56.37,46.85,1187.38,1196.93,1155.97
2025-11-05 10:38:01.817,709.33,766.0,677.0,50.17,54.89,47.23,1189.49,1197.82,1154.25
2025-11-05 10:39:13.357,702.67,748.0,645.0,49.51,54.5,46.54,1188.34,1191.53,1182.0
2025-11-05 10:40:24.923,701.17,711.0,690.0,49.6,51.97,47.19,1189.36,1197.97,1172.03
2025-11-05 10:41:34.467,706.17,732.0,674.0,49.13,52.84,47.09,1184.0,1195.57,1158.9
