timestamp,Current (A) Avg Current A,Current (A) Max Current A,Current (A) Min Current A,Torque (N·m) Avg Torque Nm,Torque (N·m) Max Torque Nm,Torque (N·m) Min Torque Nm,Speed (RPM) Avg Speed RPM,Speed (RPM) Max Speed RPM,Speed (RPM) Min Speed RPM
2025-11-05 08:49:17.590,525.43,624.0,465.0,36.55,43.81,33.04,553.26,567.45,519.6
2025-11-05 08:50:37.293,484.14,595.0,351.0,32.1,44.55,7.03,550.9,589.53,520.59
2025-11-05 08:51:47.883,495.86,587.0,435.0,36.34,42.83,33.42,553.59,567.06,522.93
2025-11-05 08:52:57.493,448.86,667.0,4.0,31.82,46.34,0.58,557.49,589.17,522.15
2025-11-05 08:54:14.197,428.86,559.0,5.0,30.33,40.56,0.33,554.27,575.79,524.58
2025-11-05 08:55:24.847,514.67,615.0,479.0,36.19,41.74,34.09,557.04,568.08,535.05
2025-11-05 08:56:35.443,510.5,601.0,480.0,36.31,40.54,34.27,555.08,567.51,524.97
2025-11-05 08:57:44.037,503.0,582.0,462.0,35.2,40.79,32.83,557.99,570.03,530.43
2025-11-05 08:58:53.670,508.33,577.0,457.0,35.28,40.88,33.01,558.82,569.13,527.13
2025-11-05 09:00:03.253,510.33,603.0,464.0,36.04,42.36,33.74,557.28,568.92,526.44
2025-11-05 09:01:12.817,518.33,588.0,474.0,35.46,40.21,32.83,556.98,571.14,524.85
2025-11-05 09:02:23.403,497.83,601.0,440.0,36.18,41.66,34.21,552.54,564.48,519.57
2025-11-05 09:03:37.990,508.0,629.0,458.0,36.09,43.94,33.17,546.47,564.93,514.02
2025-11-05 09:04:49.580,503.57,584.0,410.0,35.58,40.48,32.68,552.51,567.9,523.29
2025-11-05 09:05:59.177,509.43,584.0,460.0,35.98,40.83,32.51,554.65,567.87,521.88
2025-11-05 09:07:10.777,494.33,583.0,411.0,35.76,39.83,33.27,555.13,564.84,523.02
2025-11-05 09:08:21.380,507.67,598.0,469.0,35.66,40.08,33.58,554.38,563.73,520.95
2025-11-05 09:09:31.987,494.17,594.0,455.0,34.71,38.89,32.65,554.88,566.1,521.37
2025-11-05 09:10:40.547,504.67,587.0,479.0,35.25,39.54,33.18,555.02,565.74,519.18
2025-11-05 09:11:50.057,517.5,628.0,476.0,35.07,41.66,31.69,556.15,566.73,524.7
2025-11-05 09:12:59.587,505.86,582.0,451.0,36.12,40.99,33.23,554.66,565.65,519.93
2025-11-05 09:14:11.160,491.33,549.0,435.0,35.85,43.0,33.0,553.51,564.84,522.51
2025-11-05 09:15:21.697,481.5,551.0,445.0,34.54,39.1,32.04,553.32,567.69,512.58
2025-11-05 09:16:32.287,481.0,566.0,433.0,34.47,40.25,32.02,554.19,566.13,517.59
2025-11-05 09:17:42.880,502.83,565.0,477.0,35.19,39.93,32.78,554.66,565.83,519.03
2025-11-05 09:18:51.447,494.33,604.0,452.0,35.02,39.66,32.59,554.65,566.64,517.5
2025-11-05 09:20:02.080,488.5,552.0,463.0,34.49,39.31,32.57,555.5,568.23,520.77
2025-11-05 09:21:10.680,497.5,568.0,459.0,34.53,39.18,32.65,555.72,567.39,519.66
2025-11-05 09:22:22.277,501.67,570.0,473.0,34.95,40.81,32.13,557.6,571.2,517.59
2025-11-05 09:23:31.850,501.5,583.0,452.0,34.48,39.81,32.56,557.34,570.15,522.33
2025-11-05 09:24:41.417,501.0,559.0,463.0,34.66,39.13,32.69,556.95,570.15,519.66
2025-11-05 09:25:50.953,504.17,570.0,469.0,35.02,39.53,33.11,556.61,567.3,519.69
2025-11-05 09:27:00.533,504.17,578.0,458.0,34.48,39.49,31.81,557.09,570.24,519.54
2025-11-05 09:28:10.063,491.33,584.0,431.0,34.78,40.9,32.25,558.97,570.03,519.18
2025-11-05 09:29:20.640,504.0,558.0,479.0,34.87,38.83,32.78,555.9,568.17,515.43
2025-11-05 09:30:30.233,499.17,576.0,433.0,34.75,40.12,31.92,556.05,569.64,518.34
2025-11-05 09:31:39.830,509.71,624.0,459.0,35.36,41.52,32.21,556.36,569.85,525.27
2025-11-05 09:32:49.437,490.43,604.0,451.0,35.62,40.56,32.36,556.79,570.03,518.64
2025-11-05 09:33:58.980,483.43,579.0,358.0,35.76,40.23,32.69,553.91,568.38,521.82
2025-11-05 09:35:09.590,515.43,643.0,446.0,35.48,40.63,32.35,555.91,570.33,522.0
2025-11-05 09:36:19.187,502.29,555.0,434.0,35.6,39.86,33.02,557.97,569.64,516.54
2025-11-05 09:37:29.740,508.0,597.0,457.0,35.27,40.25,32.55,556.98,571.38,523.23
2025-11-05 09:38:41.297,508.0,562.0,474.0,35.33,39.18,32.77,557.68,570.33,517.11
2025-11-05 09:39:49.887,515.0,580.0,449.0,36.03,40.03,32.75,558.97,571.29,519.93
2025-11-05 09:40:59.470,498.29,601.0,430.0,35.44,41.04,32.89,556.08,569.37,517.32
2025-11-05 09:42:10.033,496.5,569.0,438.0,35.49,39.68,33.14,556.46,569.01,522.72
2025-11-05 09:43:20.640,496.83,601.0,454.0,35.35,41.06,32.64,555.12,570.21,522.06
2025-11-05 09:44:30.223,497.0,589.0,433.0,34.78,39.64,32.75,554.19,570.99,522.24
2025-11-05 09:45:40.740,520.0,666.0,469.0,35.13,41.11,32.3,556.8,570.12,523.38
2025-11-05 09:46:51.277,499.17,573.0,462.0,35.54,39.86,33.42,558.01,571.35,522.66
2025-11-05 09:48:00.833,500.83,549.0,465.0,35.0,40.92,32.46,558.15,570.69,523.17
2025-11-05 09:49:10.450,497.33,558.0,460.0,34.54,39.64,32.21,559.08,570.21,523.95
2025-11-05 09:50:20.000,500.57,572.0,469.0,35.26,39.17,33.07,554.2,569.34,523.02
2025-11-05 09:51:29.543,524.43,603.0,469.0,36.3,41.22,33.18,557.64,569.28,522.63
2025-11-05 09:52:53.220,503.5,550.0,457.0,35.41,40.39,33.35,548.27,569.67,520.44
2025-11-05 09:54:03.753,503.33,545.0,482.0,35.56,39.38,33.3,557.36,569.88,520.29
2025-11-05 09:55:14.340,491.33,593.0,423.0,35.08,41.55,32.89,558.08,569.85,521.13
2025-11-05 09:56:23.907,496.33,566.0,454.0,35.0,39.94,33.01,556.78,569.67,516.66
2025-11-05 09:57:32.443,494.5,580.0,434.0,35.03,39.43,33.01,558.32,569.91,520.53
2025-11-05 09:58:43.030,493.5,616.0,447.0,35.46,39.71,32.54,558.17,570.93,519.39
2025-11-05 09:59:53.597,492.83,559.0,457.0,34.62,39.33,32.77,558.13,570.78,521.31
2025-11-05 10:01:03.107,508.33,574.0,490.0,34.98,39.68,32.82,557.3,570.18,518.64
2025-11-05 10:02:12.663,493.67,561.0,467.0,34.58,39.48,32.32,558.81,570.69,520.77
2025-11-05 10:03:22.283,484.67,585.0,445.0,34.4,39.16,32.52,558.49,571.62,518.94
2025-11-05 10:04:32.867,490.67,564.0,458.0,35.11,40.2,32.82,559.1,571.77,517.71
2025-11-05 10:05:42.427,511.83,641.0,456.0,35.14,41.66,32.35,560.59,573.87,522.6
2025-11-05 10:20:29.820,18.0,20.0,16.0,0.94,0.95,0.93,511.33,511.68,510.99
2025-11-05 10:22:32.853,366.0,457.0,5.0,26.65,36.81,0.36,549.03,579.66,506.49
2025-11-05 10:25:53.447,490.33,550.0,452.0,34.71,39.74,32.43,554.92,571.44,531.51
2025-11-05 10:27:04.970,481.0,592.0,5.0,30.16,43.14,0.33,562.8,579.48,542.1
2025-11-05 10:28:18.537,491.43,571.0,440.0,34.47,38.58,31.9,556.02,573.36,530.79
2025-11-05 10:29:30.063,487.33,541.0,426.0,34.35,39.16,31.91,557.4,573.84,530.91
2025-11-05 10:30:41.590,499.0,544.0,462.0,35.64,41.67,33.3,553.81,566.07,533.46
2025-11-05 10:31:51.113,506.0,593.0,457.0,35.01,40.84,32.14,554.94,566.61,531.78
2025-11-05 10:33:01.643,484.67,551.0,439.0,34.9,38.61,33.42,555.81,565.95,532.53
2025-11-05 10:34:11.133,471.17,508.0,450.0,33.69,38.38,32.0,554.08,565.32,530.85
2025-11-05 10:35:20.617,476.17,525.0,434.0,33.91,36.55,33.15,554.6,564.48,534.3
2025-11-05 10:36:32.147,479.33,549.0,442.0,34.01,37.42,32.37,554.95,565.65,531.93
2025-11-05 10:37:41.673,477.67,531.0,457.0,33.88,37.79,32.71,556.72,567.06,532.59
