timestamp,Current (A) Avg Current A,Current (A) Max Current A,Current (A) Min Current A,Torque (N·m) Avg Torque Nm,Torque (N·m) Max Torque Nm,Torque (N·m) Min Torque Nm,Speed (RPM) Avg Speed RPM,Speed (RPM) Max Speed RPM,Speed (RPM) Min Speed RPM
2025-11-05 08:49:38.770,600.71,872.0,512.0,44.34,66.77,38.76,1121.23,1147.5,1055.7
2025-11-05 08:50:58.463,584.71,795.0,515.0,44.21,66.34,38.56,1119.79,1146.97,1046.03
2025-11-05 08:52:09.050,559.43,660.0,477.0,42.01,47.6,38.43,1116.99,1144.13,1053.82
2025-11-05 08:53:19.693,509.14,830.0,12.0,37.58,54.67,2.0,1116.66,1143.75,1048.13
2025-11-05 08:54:36.407,571.83,602.0,550.0,41.82,48.51,39.51,1132.53,1142.85,1094.55
2025-11-05 08:55:46.027,577.5,628.0,545.0,42.56,47.81,40.6,1128.72,1141.43,1088.85
2025-11-05 08:56:55.623,563.33,613.0,535.0,42.84,48.05,41.1,1127.2,1138.28,1093.57
2025-11-05 08:58:05.213,571.83,604.0,543.0,41.46,46.47,38.41,1133.41,1142.93,1101.68
2025-11-05 08:59:14.867,556.83,607.0,471.0,42.12,46.41,39.4,1132.94,1141.65,1111.65
2025-11-05 09:00:24.440,559.67,601.0,517.0,41.76,46.11,39.47,1131.63,1141.88,1098.9
2025-11-05 09:01:33.977,545.0,596.0,464.0,41.24,44.58,38.5,1125.38,1131.3,1112.78
2025-11-05 09:02:44.577,556.83,613.0,500.0,41.83,47.53,39.1,1124.75,1133.63,1099.43
2025-11-05 09:03:59.173,551.14,680.0,448.0,41.24,44.82,38.61,1107.98,1133.18,1054.5
2025-11-05 09:05:09.757,586.0,849.0,498.0,44.09,63.93,38.8,1117.89,1141.13,1070.55
2025-11-05 09:06:21.367,592.5,712.0,507.0,42.06,47.83,39.21,1132.45,1139.18,1120.8
2025-11-05 09:07:31.957,564.33,619.0,532.0,41.82,45.34,39.04,1131.16,1136.78,1122.97
2025-11-05 09:08:42.593,562.17,591.0,519.0,41.5,43.65,39.07,1127.97,1132.57,1119.82
2025-11-05 09:09:53.153,553.67,613.0,511.0,41.18,45.03,38.3,1132.18,1139.78,1113.97
2025-11-05 09:11:01.697,562.33,631.0,532.0,41.42,47.13,38.78,1131.78,1137.45,1124.63
2025-11-05 09:12:12.220,570.5,661.0,520.0,41.76,47.77,38.13,1131.46,1141.57,1110.6
2025-11-05 09:13:20.767,575.33,655.0,513.0,41.05,44.99,38.58,1131.42,1139.7,1104.3
2025-11-05 09:14:32.320,593.17,710.0,524.0,41.49,46.75,38.57,1134.12,1138.88,1127.63
2025-11-05 09:15:42.870,548.83,617.0,498.0,41.55,47.04,37.94,1134.06,1141.13,1115.1
2025-11-05 09:16:53.467,555.17,609.0,516.0,41.16,46.27,37.64,1133.96,1140.45,1118.25
2025-11-05 09:18:04.067,565.5,596.0,508.0,41.17,44.25,37.98,1132.4,1141.28,1115.18
