timestamp,Current (A) Avg Current A,Current (A) Max Current A,Current (A) Min Current A,Torque (N·m) Avg Torque Nm,Torque (N·m) Max Torque Nm,Torque (N·m) Min Torque Nm,Speed (RPM) Avg Speed RPM,Speed (RPM) Max Speed RPM,Speed (RPM) Min Speed RPM
2025-11-05 08:48:34.230,246.0,318.0,205.0,11.24,14.26,9.76,832.65,836.33,823.88
2025-11-05 08:49:42.810,244.83,320.0,215.0,11.02,13.46,9.8,829.04,836.78,809.17
2025-11-05 08:51:02.503,241.33,311.0,212.0,10.85,13.94,9.64,828.92,836.7,810.67
2025-11-05 08:52:12.067,241.5,323.0,189.0,11.35,13.72,10.3,827.45,834.45,813.15
2025-11-05 08:53:22.720,255.5,348.0,225.0,11.63,15.24,10.1,826.76,834.67,809.1
2025-11-05 08:54:40.443,262.67,387.0,224.0,11.83,16.04,10.32,830.18,835.58,813.83
2025-11-05 08:55:50.060,262.17,324.0,232.0,12.14,15.66,10.76,827.03,835.2,801.9
2025-11-05 08:56:59.660,264.29,313.0,238.0,12.28,15.5,11.12,823.19,833.7,798.9
2025-11-05 08:58:09.253,255.29,321.0,229.0,12.01,15.68,10.58,824.43,834.53,800.85
2025-11-05 08:59:18.903,272.17,377.0,230.0,11.77,13.16,10.7,828.74,835.58,805.35
2025-11-05 09:00:28.477,233.57,272.0,191.0,11.91,14.24,10.56,825.71,834.53,802.05
2025-11-05 09:01:37.007,214.57,289.0,3.0,11.62,12.82,10.62,819.51,825.3,808.58
2025-11-05 09:02:48.600,238.0,263.0,203.0,11.77,14.96,10.32,815.41,826.05,787.05
2025-11-05 09:04:03.207,246.67,290.0,231.0,11.21,13.08,10.42,815.28,826.28,780.9
2025-11-05 09:05:13.780,212.33,271.0,115.0,10.47,11.92,9.66,823.47,832.13,804.97
2025-11-05 09:06:24.393,252.33,328.0,228.0,11.41,13.74,10.4,825.68,831.0,817.58
2025-11-05 09:07:35.987,238.83,261.0,225.0,11.24,13.24,10.18,826.28,829.13,821.33
2025-11-05 09:08:45.620,252.67,320.0,223.0,11.53,14.04,10.32,823.7,827.78,814.28
2025-11-05 09:09:56.167,233.0,254.0,209.0,10.88,12.7,9.76,825.96,830.85,812.33
2025-11-05 09:11:05.720,239.83,259.0,226.0,11.33,13.52,10.28,827.81,831.75,822.53
2025-11-05 09:12:15.237,237.5,330.0,200.0,10.56,13.36,9.22,827.21,832.8,819.15
2025-11-05 09:13:24.793,236.33,310.0,212.0,10.96,13.76,9.7,829.44,832.95,822.08
2025-11-05 09:14:35.337,249.67,313.0,224.0,11.16,13.2,10.14,830.09,833.25,824.63
2025-11-05 09:15:46.903,228.0,300.0,199.0,10.37,12.74,9.2,827.5,832.65,812.7
2025-11-05 09:16:57.487,233.33,302.0,40.0,9.52,12.92,3.72,827.36,833.1,815.92
2025-11-05 09:18:07.097,195.43,303.0,3.0,10.06,13.04,5.86,825.85,832.05,813.38
2025-11-05 09:19:16.687,198.14,296.0,7.0,10.62,13.06,9.22,825.6,831.22,812.17
2025-11-05 09:20:26.297,227.0,296.0,206.0,10.48,12.74,9.42,826.95,833.1,814.05
2025-11-05 09:21:36.897,219.33,239.0,202.0,10.66,13.52,9.48,829.74,833.7,822.08
2025-11-05 09:22:47.477,221.0,252.0,196.0,10.01,12.02,8.94,832.13,837.97,812.55
2025-11-05 09:23:56.033,223.67,242.0,204.0,10.41,12.02,9.34,829.1,835.42,812.17
2025-11-05 09:25:05.587,232.83,305.0,207.0,10.65,13.2,9.48,829.3,833.92,816.83
2025-11-05 09:26:15.157,233.33,283.0,216.0,10.78,13.5,9.72,827.73,832.28,822.08
2025-11-05 09:27:24.697,225.0,276.0,197.0,10.44,13.24,9.12,831.58,836.7,822.3
2025-11-05 09:28:35.250,222.0,297.0,198.0,10.57,13.58,9.42,832.1,836.4,826.28
2025-11-05 09:29:45.867,223.0,275.0,198.0,10.69,13.14,9.7,829.26,834.6,821.85
2025-11-05 09:30:54.447,217.17,247.0,203.0,10.38,12.78,9.26,829.0,835.5,815.85
2025-11-05 09:32:05.067,233.5,313.0,209.0,10.43,13.14,9.36,831.59,837.15,824.17
2025-11-05 09:33:14.633,228.83,273.0,206.0,10.76,13.44,9.68,831.25,837.67,822.22
2025-11-05 09:34:23.207,212.0,257.0,154.0,10.26,11.5,9.74,824.1,835.35,798.45
2025-11-05 09:35:34.810,218.17,253.0,203.0,10.35,12.76,9.24,833.11,837.9,827.03
2025-11-05 09:36:43.380,237.5,283.0,210.0,10.84,13.32,9.82,829.6,835.2,817.88
2025-11-05 09:37:54.917,232.33,329.0,200.0,10.39,13.38,9.28,833.25,838.2,827.47
