timestamp,Current (A) Avg Current A,Current (A) Max Current A,Current (A) Min Current A,Torque (N·m) Avg Torque Nm,Torque (N·m) Max Torque Nm,Torque (N·m) Min Torque Nm,Speed (RPM) Avg Speed RPM,Speed (RPM) Max Speed RPM,Speed (RPM) Min Speed RPM
2025-11-05 08:48:52.387,272.0,303.0,237.0,24.66,28.39,21.77,429.98,441.93,404.58
2025-11-05 08:50:12.067,262.17,312.0,233.0,23.6,26.83,21.55,424.38,441.84,404.01
2025-11-05 08:51:23.683,263.17,307.0,234.0,23.74,26.83,21.58,430.78,442.92,406.44
2025-11-05 08:52:33.260,258.67,310.0,216.0,23.38,26.44,22.0,430.73,442.02,406.53
2025-11-05 08:53:50.980,270.0,321.0,227.0,23.73,28.31,19.95,427.83,443.73,405.84
2025-11-05 08:55:00.640,257.17,334.0,213.0,24.18,28.97,21.84,433.65,444.12,415.47
2025-11-05 08:56:10.247,263.83,328.0,226.0,23.87,29.88,21.29,431.98,443.31,408.36
2025-11-05 08:57:19.837,260.71,329.0,227.0,23.25,29.07,20.63,433.53,442.83,412.92
2025-11-05 08:58:29.410,269.14,329.0,229.0,23.51,28.38,20.68,435.58,443.88,410.1
2025-11-05 08:59:39.067,286.5,349.0,243.0,26.02,30.26,22.75,436.06,444.45,410.49
2025-11-05 09:00:48.627,282.0,342.0,253.0,25.48,30.32,22.75,434.91,443.94,409.62
2025-11-05 09:01:59.187,265.29,321.0,222.0,25.57,29.05,22.98,430.91,441.15,404.49
2025-11-05 09:03:12.787,259.17,313.0,229.0,24.79,26.91,22.54,424.59,440.43,399.57
2025-11-05 09:04:23.357,261.33,308.0,226.0,24.63,26.75,23.02,429.31,440.13,406.35
2025-11-05 09:05:33.960,273.67,297.0,236.0,24.26,27.05,22.64,432.76,443.22,406.89
2025-11-05 09:06:45.557,276.43,319.0,244.0,24.88,27.76,22.66,434.07,442.71,406.95
2025-11-05 09:07:56.147,276.43,330.0,230.0,25.69,30.5,23.43,432.83,441.57,404.76
2025-11-05 09:09:06.783,270.43,323.0,228.0,25.07,27.88,22.11,431.35,438.12,405.57
